,cik,ticker,name,date,shares,netincome,revenue,pe
91,72903,XEL,XCEL ENERGY INC,2009-12-31,456433000.0,680887000.0,9644303000.0,1.0042724649559776
93,79879,PPG,"PPG INDUSTRIES, INC.",2009-12-31,164800000.0,336000000.0,12239000000.0,0.39412501637711034
94,933036,RCII,RENT A CENTER INC DE,2009-12-31,65986000.0,167855000.0,2751956000.0,0.4248875616801321
95,761648,CDR,"CEDAR REALTY TRUST, INC.",2009-12-31,,-16871000.0,140395000.0,
97,2178,AE,"ADAMS RESOURCES & ENERGY, INC.",2009-12-31,,4149000.0,1943128000.0,
101,27904,DAL,"DELTA AIR LINES, INC.",2009-12-31,827000000.0,-1237000000.0,28063000000.0,0.3353618677490874
103,101778,MRO,Marathon Oil Corporation,2009-12-31,709000000.0,1463000000.0,9084000000.0,1.45349138605075
104,1283630,ACC,"AMERICAN CAMPUS COMMUNITIES, INC.",2009-12-31,48706480.0,-12840000.0,290073000.0,4.718302312107806
106,1276187,ET,ENERGY TRANSFER LP,2009-12-31,,442473000.0,5417295000.0,
107,1101215,BFH,ALLIANCE DATA SYSTEMS CORPORATION,2009-12-31,55765000.0,143734000.0,1964341000.0,1.4633864387536704
108,1318568,EVRI,Everi Holdings Inc.,2009-12-31,74232000.0,33582000.0,667720000.0,0.8326808587576283
109,1391127,EGIO,"Limelight Networks, Inc.",2009-12-31,84202000.0,34890000.0,131663000.0,2.506944596614863
112,1056288,FHI,"FEDERATED HERMES, INC.",2009-12-31,99923000.0,197292000.0,1175950000.0,2.3367341298524598
113,4447,HES,HESS CORPORATION,2009-12-31,323890000.0,740000000.0,29569000000.0,0.6626989414589604
114,7332,SWN,SOUTHWESTERN ENERGY CO,2009-12-31,343420568.0,-35650000.0,2145779000.0,7.714154924439609
115,1383650,CQP,"CHENIERE ENERGY PARTNERS, L.P.",2009-12-31,,186912000.0,416790000.0,
116,1037976,JLL,Jones Lang LaSalle Incorporated,2009-12-31,38543087.0,-3595000.0,2480736000.0,0.9384321885166674
117,1048477,BMRN,BIOMARIN PHARMACEUTICAL INC,2009-12-31,100271000.0,-488000.0,324656000.0,5.809525948848962
120,24090,CIA,"CITIZENS, INC.",2009-12-31,,17340000.0,188980000.0,
123,1065088,EBAY,eBay Inc.,2009-12-31,1289848000.0,2389097000.0,8727362000.0,1.4636291787121896
124,1046568,PRDO,PERDOCEO EDUCATION CORP,2009-12-31,85838000.0,81219000.0,1802401000.0,1.1101212960698326
125,793952,HOG,"Harley-Davidson, Inc.",2009-12-31,232577000.0,-55116000.0,4781909000.0,1.2256487058708498
127,746515,EXPD,"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC.",2009-12-31,212112744.0,240217000.0,4092283000.0,1.8022116764596947
128,1466593,OTTR,OTTER TAIL CORPORATION,2009-12-31,35463000.0,26031000.0,818692000.0,1.07511939676649
129,1273813,AGO,ASSURED GUARANTY LTD.,2009-12-31,126500000.0,97200000.0,917100000.0,3.001461159037785
131,913241,SHOO,"STEVEN MADDEN, LTD.",2009-12-31,,50107000.0,503550000.0,
136,720672,SF,STIFEL FINANCIAL CORP.,2009-12-31,42445000.0,75798000.0,1102870000.0,1.0132923459224576
137,1002910,AEE,Ameren Corporation,2009-12-31,220400000.0,612000000.0,7135000000.0,0.8633749359708277
138,922864,AIV,APARTMENT INVESTMENT AND MANAGEMENT CO,2009-12-31,114301000.0,-64274000.0,1047702000.0,0.2315433602501729
139,1071739,CNC,CENTENE CORPORATION,2009-12-31,43034791.0,83671000.0,4102864000.0,0.05551283985731029
140,1042046,AFG,"AMERICAN FINANCIAL GROUP, INC.",2009-12-31,115700000.0,523000000.0,4320000000.0,0.66822108524817
142,1276520,GNW,"GENWORTH FINANCIAL, INC.",2009-12-31,451100000.0,-504000000.0,9069000000.0,0.5645589560129005
146,15615,MTZ,MASTEC INC,2009-12-31,75701000.0,70748000.0,1623502000.0,0.5828526851214227
147,1130310,CNP,CENTERPOINT ENERGY INC,2009-12-31,365229000.0,372000000.0,8281000000.0,0.6399556664164091
148,813762,IEP,ICAHN ENTERPRISES L.P.,2009-12-31,76000000.0,253000000.0,8543000000.0,0.34561631440362817
149,789933,NC,"NACCO INDUSTRIES, INC.",2009-12-31,,31100000.0,2310600000.0,
150,1284812,CNS,"COHEN & STEERS, INC.",2009-12-31,42339000.0,-1710000.0,123553000.0,7.826784994782957
152,1350653,ATEC,"ALPHATEC HOLDINGS, INC.",2009-12-31,,-13289000.0,120618000.0,
153,107263,WMB,"WILLIAMS COMPANIES, INC.",2009-12-31,581674000.0,285000000.0,5278000000.0,1.893847647989641
154,1130464,BKH,Black Hills Corporation,2009-12-31,38614000.0,81555000.0,1269578000.0,0.8099469174748157
156,1220754,MODV,ModivCare Inc.,2009-12-31,13130092.0,21125607.0,801013266.0,0.25899128629957835
157,821130,USM,UNITED STATES CELLULAR CORPORATION,2009-12-31,86946000.0,209547000.0,4213880000.0,0.8750557317088036
161,1022652,INSG,INSEEGO CORP.,2009-12-31,30648000.0,3912000.0,337422000.0,0.7239141299909125
162,1051512,TDS,"TELEPHONE AND DATA SYSTEMS, INC.",2009-12-31,114354000.0,191347000.0,5019943000.0,0.7108514997702418
163,1090727,UPS,"United Parcel Service, Inc.",2009-12-31,998000000.0,1968000000.0,45297000000.0,1.2639967091423494
164,64803,CVS,CVS HEALTH CORPORATION,2009-12-31,1434000000.0,3696000000.0,98215000000.0,0.4702859918254217
166,945394,SVC,SERVICE PROPERTIES TRUST,2009-12-31,107984000.0,193341000.0,1037033000.0,2.468870847058575
167,921738,PENN,"PENN NATIONAL GAMING, INC.",2009-12-31,78121571.0,-264948000.0,2369275000.0,0.20269719416931437
168,354190,AJG,ARTHUR J. GALLAGHER & CO.,2009-12-31,100500000.0,128600000.0,1729300000.0,1.3081911889218905
169,907254,BFS,"SAUL CENTERS, INC.",2009-12-31,,36713000.0,160968000.0,
170,1338749,PCH,POTLATCHDELTIC CORPORATION,2009-12-31,39763090.0,77328000.0,476169000.0,2.6621793435303154
171,310158,MRK,"Merck & Co., Inc.",2009-12-31,2268000000.0,12899000000.0,27428000000.0,2.8830765986626847
172,1014739,OPCH,"OPTION CARE HEALTH, INC.",2009-12-31,38985000.0,54099000.0,1329525000.0,0.9805444399031608
175,1031296,FE,FIRSTENERGY CORP,2009-12-31,304000000.0,872000000.0,12967000000.0,1.0889797356314947
176,1142750,AMN,"AMN HEALTHCARE SERVICES, INC.",2009-12-31,32615000.0,-122177000.0,759790000.0,0.3889126122820762
178,1280058,BLKB,"Blackbaud, Inc.",2009-12-31,42771173.0,27520000.0,309470000.0,3.2658505900248915
179,789570,MGM,MGM RESORTS INTERNATIONAL,2009-12-31,378513000.0,-1291682000.0,6010588000.0,0.5743262583764891
180,320335,GL,GLOBE LIFE INC.,2009-12-31,124550384.0,383174000.0,3115073000.0,0.7810038814875495
181,1070423,PAA,PLAINS ALL AMERICAN PIPELINE LP,2009-12-31,,579000000.0,18520000000.0,
182,27996,DLX,DELUXE CORPORATION,2009-12-31,50837000.0,99365000.0,1344195000.0,0.5593527933526924
183,927628,COF,CAPITAL ONE FINANCIAL CORP,2009-12-31,428000000.0,884000000.0,12983000000.0,1.2639235974202894
185,1012019,RUSHA,"Rush Enterprises, Inc.",2009-12-31,,5884000.0,1200453000.0,
186,791963,OPY,OPPENHEIMER HOLDINGS INC.,2009-12-31,13110647.0,20824000.0,990480000.0,0.43972186146535797
187,821189,EOG,"EOG RESOURCES, INC.",2009-12-31,248996000.0,546627000.0,4786959000.0,2.530553484986553
189,746838,UIS,UNISYS CORP,2009-12-31,39241000.0,189300000.0,4385700000.0,0.3450151660827947
190,753308,NEE,"NEXTERA ENERGY, INC.",2009-12-31,404400000.0,1615000000.0,15643000000.0,0.3413732640252336
193,85961,R,"RYDER SYSTEM, INC.",2009-12-31,55035000.0,61945000.0,4887254000.0,0.4636122553130869
194,1013871,NRG,"NRG Energy, Inc",2009-12-31,246000000.0,942000000.0,8952000000.0,0.6488002848689102
196,1103982,MDLZ,"Mondelez International, Inc.",2009-12-31,1478000000.0,3021000000.0,38754000000.0,1.0365908151687517
197,103730,VSH,"Vishay Intertechnology, Inc.",2009-12-31,186605000.0,-57188000.0,2042033000.0,0.7630394911268125
198,65984,ETR,ENTERGY CORPORATION,2009-12-31,192772032.0,1231092000.0,10745650000.0,1.4681719945212932
201,716634,RDIB,"READING INTERNATIONAL, INC.",2009-12-31,22580942.0,6094000.0,217014000.0,0.7023572603610827
202,716634,RDI,"READING INTERNATIONAL, INC.",2009-12-31,22580942.0,6094000.0,217014000.0,0.4214143760631705
203,1316317,CNTFY,CHINA TECHFAITH WIRELESS COMMUNICATION TECHNOLOGY LTD,2009-12-31,650057866.0,4414000.0,211076000.0,47.273913145395014
204,1086600,ARLP,ALLIANCE RESOURCE PARTNERS LP,2009-12-31,36655555.0,192157000.0,1231031000.0,0.645699166470074
205,9326,BCPC,Balchem Corporation,2009-12-31,27420091.0,26785000.0,219438000.0,2.791516679535786
206,1095651,STAR-PD,iStar Inc.,2009-12-31,100071000.0,-768776000.0,758987000.0,0.9756760122946958
207,60086,L,LOEWS CORPORATION,2009-12-31,432810000.0,564000000.0,14117000000.0,1.1144466132736663
208,1034054,SBAC,SBA COMMUNICATIONS CORPORATION,2009-12-31,,-140871000.0,555513000.0,
209,1095651,STAR,iStar Inc.,2009-12-31,100071000.0,-768776000.0,758987000.0,0.33753114911571797
210,1001838,SCCO,SOUTHERN COPPER CORP/,2009-12-31,850684000.0,929381000.0,3734300000.0,7.496990148139122
211,860731,TYL,"TYLER TECHNOLOGIES, INC.",2009-12-31,35240000.0,27010000.0,290286000.0,2.4170245710189358
212,887936,FCN,"FTI CONSULTING, INC",2009-12-31,49963000.0,139843000.0,1399946000.0,1.6831042571472408
213,1089872,GAIA,"GAIA, INC",2009-12-31,23306000.0,296000.0,278473000.0,0.6435925254282463
214,1311370,LAZ,LAZARD LTD,2009-12-31,78311947.0,-130242000.0,1638408000.0,1.8148743922061161
215,75362,PCAR,PACCAR Inc,2009-12-31,363800000.0,111900000.0,8086500000.0,1.6317351346731495
216,1097864,ON,ON SEMICONDUCTOR CORP,2009-12-31,420800000.0,61000000.0,1768900000.0,2.0981716725547126
217,861878,SRCL,"Stericycle, Inc.",2009-12-31,84769912.0,175691000.0,1177736000.0,3.970971329586304
218,749251,IT,"Gartner, Inc.",2009-12-31,94658000.0,82964000.0,1139800000.0,1.4981842486944967
219,1334978,CCO,"CLEAR CHANNEL OUTDOOR HOLDINGS, INC.",2009-12-31,355377000.0,-868189000.0,2698024000.0,1.3685449617976009
221,1494904,GBLI,"Global Indemnity Group, LLC",2009-12-31,25856049.0,75437000.0,387750000.0,1.0562471182600128
223,1095651,STAR-PG,iStar Inc.,2009-12-31,100071000.0,-768776000.0,758987000.0,0.9202997968459313
224,1095651,STAR-PI,iStar Inc.,2009-12-31,100071000.0,-768776000.0,758987000.0,0.9202997968459313
225,1018963,ATI,ALLEGHENY TECHNOLOGIES INCORPORATED,2009-12-31,97200000.0,31700000.0,3054900000.0,1.4244800302774654
228,18230,CAT,CATERPILLAR INC,2009-12-31,615200000.0,895000000.0,32396000000.0,1.0822400615073704
230,1379041,EIG,"EMPLOYERS HOLDINGS, INC.",2009-12-31,45953868.0,83021000.0,495935000.0,1.4214208356579063
231,1289848,HURN,HURON CONSULTING GROUP INC.,2009-12-31,20114000.0,-32873000.0,568624000.0,0.8149965151223251
232,892537,MANT,ManTech International Corporation,2009-12-31,,111764000.0,2020334000.0,
234,104918,AVA,AVISTA CORP,2009-12-31,54694000.0,87071000.0,1512565000.0,0.7806894039896746
236,318154,AMGN,Amgen Inc.,2009-12-31,1016000000.0,4605000000.0,14642000000.0,3.9253599023317447
237,1290900,CVGI,"COMMERCIAL VEHICLE GROUP, INC.",2009-12-31,21811.0,-81535000.0,458569000.0,0.00028490343875808936
238,64996,MCY,MERCURY GENERAL CORPORATION,2009-12-31,54770.0,403072000.0,3121493000.0,0.0006888595002681004
239,1330568,SLV,iShares Silver Trust,2009-12-31,,2739000.0,594601000.0,
240,874238,STRL,"STERLING CONSTRUCTION COMPANY, INC.",2009-12-31,13358903000.0,23704000.0,390847000.0,654.1930608815541
241,1451505,RIG,Transocean Ltd,2009-12-31,320000000.0,3181000000.0,11441000000.0,2.315881564248099
243,1040829,RHP,"RYMAN HOSPITALITY PROPERTIES, INC.",2009-12-31,42490000.0,-23000.0,872845000.0,0.9614278594710401
245,1360901,EVR,EVERCORE INC.,2009-12-31,15545000.0,-1570000.0,336686000.0,1.4317508110166985
248,874766,HIG,"THE HARTFORD FINANCIAL SERVICES GROUP, INC.",2009-12-31,346300000.0,-887000000.0,24433000000.0,0.34668267028006716
250,230557,SIGI,"SELECTIVE INSURANCE GROUP, INC",2009-12-31,52630000.0,36398000.0,1514018000.0,0.5422841868965572
251,49600,EGP,EastGroup Properties Inc,2009-12-31,25590000.0,26659000.0,172354000.0,5.630114491937005
254,4977,AFL,Aflac Incorporated,2009-12-31,466552000.0,1497000000.0,18254000000.0,0.5882378654124718
255,1070412,CNX,CNX Resources Corporation,2009-12-31,180693243.0,539717000.0,4621875000.0,1.4960439330028037
256,921582,IMAX,IMAX Corporation,2009-12-31,52820783.0,5021000.0,171211000.0,3.233213880303044
257,1122976,AVNT,AVIENT CORPORATION,2009-12-31,92400000.0,106700000.0,2060700000.0,0.32194496245862514
258,745308,JOE,The St. Joe Company,2009-12-31,91412398.0,-130027000.0,138257000.0,16.463315964681268
260,1013857,PEGA,PEGASYSTEMS INC.,2009-12-31,36208000.0,32212000.0,264013000.0,1.9700844720246597
261,752714,MGRC,McGRATH RENTCORP,2009-12-31,23745000.0,33325000.0,275833000.0,1.7793706765020854
262,728535,JBHT,HUNT J B TRANSPORT SERVICES INC,2009-12-31,126676000.0,136435000.0,3203321000.0,1.2599103984011886
263,66570,MSA,MSA SAFETY INC,2009-12-31,35668000.0,43295000.0,915851000.0,0.963504229220957
264,1057352,CSGP,"COSTAR GROUP, INC.",2009-12-31,19780000.0,18693000.0,209659000.0,0.3748274149018705
265,1000229,CLB,CORE LABORATORIES N.V.,2009-12-31,45939000.0,113604000.0,695539000.0,3.508803064961131
266,833640,POWI,"Power Integrations, Inc.",2009-12-31,26920000.0,23269000.0,215701000.0,2.0960561242360165
267,1014473,VRSN,VERISIGN INC/CA,2009-12-31,191821000.0,245553000.0,615947000.0,6.988366438092021
268,944695,THG,"HANOVER INSURANCE GROUP, INC.",2009-12-31,50600000.0,197200000.0,2834100000.0,0.7432617247262379
269,70858,BAC-PL,Bank of America Corporation,2009-12-31,7728570000.0,6276000000.0,119643000000.0,55.0688792908904
272,70858,BAC-PE,Bank of America Corporation,2009-12-31,7728570000.0,6276000000.0,119643000000.0,1.0374265947234549
273,12927,BA,BOEING CO,2009-12-31,709600000.0,1312000000.0,68281000000.0,0.5446630232674335
274,943452,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIESCORP,2009-12-31,47499000.0,115055000.0,1401616000.0,0.6523582422004315
275,70858,BML-PJ,Bank of America Corporation,2009-12-31,7728570000.0,6276000000.0,119643000000.0,1.0832904761486972
276,70858,BML-PL,Bank of America Corporation,2009-12-31,7728570000.0,6276000000.0,119643000000.0,1.0716630097814848
278,70858,BAC,Bank of America Corporation,2009-12-31,7728570000.0,6276000000.0,119643000000.0,1.0238612994342795
279,1025378,WPC,W. P. Carey Inc.,2009-12-31,39019709.0,69023000.0,223898000.0,4.571219703651639
280,97216,TEX,TEREX CORP,2009-12-31,102600000.0,-398400000.0,3858400000.0,0.5007148020351028
281,944148,CBZ,"CBIZ, Inc.",2009-12-31,61200000.0,31396000.0,736787000.0,0.5714758905949537
282,915912,AVB,"AVALONBAY COMMUNITIES, INC.",2009-12-31,79951348.0,155647000.0,851107000.0,6.786085896045379
283,70858,BML-PG,Bank of America Corporation,2009-12-31,7728570000.0,6276000000.0,119643000000.0,0.9909168524634637
284,70858,BML-PH,Bank of America Corporation,2009-12-31,7728570000.0,6276000000.0,119643000000.0,0.8617230007546299
286,896622,ATR,"AptarGroup, Inc",2009-12-31,67643000.0,124623000.0,1855390000.0,1.3168471791642087
287,895417,ELS,EQUITY LIFESTYLE PROPERTIES INC,2009-12-31,27582000.0,34005000.0,503221000.0,0.657867901828684
288,1309402,GPRE,Green Plains Inc.,2009-12-31,24895000.0,19790000.0,1305793000.0,0.2213451454043482
289,875320,VRTX,VERTEX PHARMACEUTICALS INC / MA,2009-12-31,173259000.0,-642178000.0,101889000.0,66.01217331729185
290,1166003,XPO,"XPO Logistics, Inc.",2009-12-31,8008805.0,1705000.0,100136000.0,0.20483635998017688
295,1045450,EPR-PC,EPR PROPERTIES,2009-12-31,36122000.0,8007000.0,256286000.0,2.093019961213057
296,906107,EQR,EQUITY RESIDENTIAL,2009-12-31,273609000.0,362273000.0,1620815000.0,5.437354441749045
298,1045450,EPR-PE,EPR PROPERTIES,2009-12-31,36122000.0,8007000.0,256286000.0,3.1567953845677144
300,19617,JPM,JPMORGAN CHASE & CO,2009-12-31,3862800000.0,11728000000.0,100434000000.0,1.6342113077601363
302,1158172,SCOR,"comScore, Inc.",2009-12-31,30014085.0,3969000.0,127740000.0,3.761746576794104
303,96223,JEF,Jefferies Financial Group Inc.,2009-12-31,241437000.0,550280000.0,514749000.0,9.202565097338066
304,1045450,EPR,EPR PROPERTIES,2009-12-31,36122000.0,8007000.0,256286000.0,4.452424188257571
305,1405495,IDCC,"INTERDIGITAL, INC.",2009-12-31,43295000.0,87256000.0,297404000.0,3.463262396059758
307,1265131,HTH,Hilltop Holdings Inc.,2009-12-31,56474000.0,-2112000.0,128835000.0,5.325874789124683
308,19617,AMJ,JPMORGAN CHASE & CO,2009-12-31,3862800000.0,11728000000.0,100434000000.0,1.0296031002275077
309,906163,NVR,"NVR, Inc.",2009-12-31,5807000.0,192180000.0,2743848000.0,1.4246351079842838
310,1232582,AHT,"ASHFORD HOSPITALITY TRUST, INC.",2009-12-31,,-250242000.0,837684000.0,
313,1086222,AKAM,"AKAMAI TECHNOLOGIES, INC.",2009-12-31,171425000.0,145913000.0,859773000.0,4.785216562976506
314,1041657,UONEK,"URBAN ONE, INC.",2009-12-31,59465252.0,-52887000.0,271877000.0,0.4811865558157703
315,1041657,UONE,"URBAN ONE, INC.",2009-12-31,59465252.0,-52887000.0,271877000.0,0.662725099433514
316,1410636,AWK,"American Water Works Company, Inc.",2009-12-31,168164000.0,-233083000.0,2290446000.0,1.6328554881932666
318,1232582,AHT-PD,"ASHFORD HOSPITALITY TRUST, INC.",2009-12-31,,-250242000.0,837684000.0,
319,59478,LLY,ELI LILLY & Co,2009-12-31,1098338000.0,4328800000.0,21836000000.0,1.8474974462914804
320,1163302,X,United States Steel Corp,2009-12-31,,-1401000000.0,11048000000.0,
322,1124198,FLR,FLUOR CORPORATION,2009-12-31,179100000.0,684889000.0,21990297000.0,0.3459784066588335
323,105016,WSO,"WATSCO, INC.",2009-12-31,28223275.0,43314000.0,2001815000.0,0.7071979527046556
