Symbol,2 Year CAGR,5 Year CAGR,10 Year CAGR,Average CAGR 2 & 5,Average CAGR All,Name,Sector
PWR,74.92406697847116,29.80794033824119,17.47229426897765,52.36600365835618,40.73476719523,Quanta Services Inc.,Industrials
RSG,23.0749251585741,15.269744082733006,17.25075903734492,19.17233462065355,18.53180942621734,Republic Services Inc,Industrials
MAS,7.878299836015845,7.824813187448276,17.167873805425373,7.851556511732061,10.95699560962983,Masco Corp.,Industrials
REGN,3.8684858218930085,7.568422227550786,17.162159115365515,5.718454024721897,9.533022388269769,Regeneron,Health Care
MLM,30.624790767486875,7.900341474068218,17.12363016785108,19.262566120777546,18.54958746980206,Martin Marietta Materials,Materials
ACN,17.13819632302698,17.320307938561363,17.09260198670186,17.229252130794173,17.183702082763403,Accenture plc,Information Technology
COST,16.18887135976155,18.207941354579347,17.032869369406335,17.198406357170448,17.143227361249078,Costco Wholesale Corp.,Consumer Staples
WM,20.30406441883361,16.20592519238626,16.89199361227991,18.254994805609936,17.800661074499928,Waste Management Inc.,Industrials
LUV,15.26753865812973,-6.626557827401902,16.794698892965275,4.320490415363914,8.478559907897703,Southwest Airlines,Industrials
MMC,18.943140236531963,14.078498311123976,16.70187431458434,16.51081927382797,16.57450428741343,Marsh & McLennan,Financials
AZO,24.236208694080965,23.935009398289875,16.635421743347045,24.085609046185418,21.602213278572624,AutoZone Inc,Consumer Discretionary
HOLX,21.11899653132334,12.414527666887508,16.58498945162661,16.766762099105424,16.706171216612486,Hologic,Health Care
VMC,21.54759662383028,5.12398673221377,16.5332381152129,13.335791678022025,14.40160715708565,Vulcan Materials,Materials
BAC,18.482667022800104,8.604800360061148,16.503765624004217,13.543733691430626,14.530411002288488,Bank of America Corp,Financials
PHM,12.16813169618165,13.521103123682243,16.400774554487963,12.844617409931946,14.030003124783951,Pulte Homes Inc.,Consumer Discretionary
ADP,19.342405880520474,15.30415875267952,16.37687667656933,17.323282316599997,17.007813769923107,Automatic Data Processing,Information Technology
SYK,8.930417463877593,10.19153489836242,16.267151811260703,9.560976181120006,11.79636805783357,Stryker Corp.,Health Care
TDG,13.808210424949063,15.466912043642079,16.162166667653445,14.637561234295571,15.145763045414862,TransDigm Group,Industrials
ADI,19.923247857717286,13.627026248787622,16.143516176147664,16.775137053252454,16.56459676088419,"Analog Devices, Inc.",Information Technology
AJG,28.22008633420372,22.265459289768952,16.131540301578127,25.242772811986335,22.205695308516933,Arthur J. Gallagher & Co.,Financials
CSX,13.874093613929217,11.372134709407655,16.08345202495609,12.623114161668436,13.776560116097656,CSX Corp.,Industrials
KR,22.136109057591135,10.31878751091082,16.02677075748391,16.227448284250976,16.16055577532862,Kroger Co.,Consumer Staples
TSN,17.814296436799303,8.26246199211289,15.976969027054855,13.038379214456096,14.017909151989016,Tyson Foods,Consumer Staples
EL,9.601358815624007,20.3016995767735,15.918686995336383,14.951529196198754,15.27391512924463,Estee Lauder Cos.,Consumer Staples
MSI,24.652771534091134,20.26784052613135,15.899976799830128,22.46030603011124,20.273529620017538,Motorola Solutions Inc.,Information Technology
NEE,5.580702273706617,15.031807143774301,15.863938254686927,10.30625470874046,12.158815890722614,NextEra Energy,Utilities
EFX,12.575407769699854,7.303974750819031,15.726150782150604,9.939691260259442,11.868511100889828,Equifax Inc.,Industrials
VRTX,-5.236785537702582,15.909398183556167,15.722312322271105,5.336306322926792,8.79830832270823,Vertex Pharmaceuticals Inc,Health Care
A,19.150040947380266,15.7047599405991,15.709794905836194,17.427400443989683,16.854865264605184,Agilent Technologies Inc,Health Care
MCHP,17.841802332444857,9.865942142804652,15.699601704646128,13.853872237624755,14.469115393298546,Microchip Technology,Information Technology
AWK,7.061689231580814,13.238797065666773,15.582446850427868,10.150243148623794,11.96097771589182,American Water Works Company Inc,Utilities
DE,43.51390285017875,20.66907962650766,15.54485550383744,32.09149123834321,26.575945993507954,Deere & Co.,Industrials
DHI,11.499723033819986,16.03033871441786,15.270044401502837,13.765030874118922,14.266702049913562,D. R. Horton,Consumer Discretionary
ROP,2.960248187561043,12.938315990212867,15.221852174562066,7.949282088886955,10.373472117445326,Roper Technologies,Industrials
ABC,25.507151781674487,10.35252444133208,15.04103300442079,17.929838111503283,16.966903075809117,AmerisourceBergen Corp,Health Care
