,cik,entityName,date,NetIncomeLoss,Revenues,ticker,close
2436,8177,ATLANTIC AMERICAN CORP,2011-12-31,3290000.0,118332000.0,AAME,1.9900000095367432
3038,8177,ATLANTIC AMERICAN CORP,2012-12-31,4436000.0,139828000.0,AAME,2.950000047683716
4720,8177,ATLANTIC AMERICAN CORP,2013-12-31,11022000.0,165369000.0,AAME,4.0
6234,8177,ATLANTIC AMERICAN CORP,2014-12-31,4430000.0,166321000.0,AAME,3.849999904632568
7226,8177,ATLANTIC AMERICAN CORP,2015-12-31,4388000.0,165937000.0,AAME,4.78000020980835
8174,8177,ATLANTIC AMERICAN CORP,2016-12-31,2636000.0,166077000.0,AAME,4.0
11447,8177,ATLANTIC AMERICAN CORP,2017-12-31,4528000.0,181114000.0,AAME,3.5999999046325684
13740,8177,ATLANTIC AMERICAN CORP,2018-12-31,-704000.0,185553000.0,AAME,2.8299999237060547
16641,8177,ATLANTIC AMERICAN CORP,2019-12-31,-386000.0,198179000.0,AAME,1.7699999809265137
19678,8177,ATLANTIC AMERICAN CORP,2020-12-31,12169000.0,195348000.0,AAME,2.140000104904175
23316,8177,ATLANTIC AMERICAN CORP,2021-12-31,4281000.0,199554000.0,AAME,3.900000095367432
14480,1821393,"THE AARON'S COMPANY, INC.",2018-12-31,50653000.0,1794716000.0,AAN,
16786,1821393,"THE AARON'S COMPANY, INC.",2019-12-31,28099000.0,1784477000.0,AAN,
18672,1821393,"THE AARON'S COMPANY, INC.",2020-12-31,-265912000.0,1734919000.0,AAN,19.190000534057617
21377,1821393,"THE AARON'S COMPANY, INC.",2021-12-31,109934000.0,1845504000.0,AAN,22.200000762939453
9616,1158114,"Applied Optoelectronics, Inc.",2016-12-31,31234000.0,260713000.0,AAOI,24.770000457763672
10796,1158114,"Applied Optoelectronics, Inc.",2017-12-31,73951000.0,382329000.0,AAOI,43.65999984741211
14389,1158114,"Applied Optoelectronics, Inc.",2018-12-31,-2146000.0,267465000.0,AAOI,20.59000015258789
15799,1158114,"Applied Optoelectronics, Inc.",2019-12-31,-66049000.0,190872000.0,AAOI,10.699999809265137
20474,1158114,"Applied Optoelectronics, Inc.",2020-12-31,-58452000.0,234623000.0,AAOI,8.3100004196167
22669,1158114,"Applied Optoelectronics, Inc.",2021-12-31,-54162000.0,211565000.0,AAOI,5.909999847412109
9637,1158449,"ADVANCE AUTO PARTS, INC.",2016-12-31,459622000.0,9567679000.0,AAP,169.72000122070312
10251,1158449,"ADVANCE AUTO PARTS, INC.",2017-12-30,475505000.0,9373784000.0,AAP,101.0
12711,1158449,"ADVANCE AUTO PARTS, INC.",2018-12-29,423847000.0,9580554000.0,AAP,159.75999450683594
15405,1158449,"ADVANCE AUTO PARTS, INC.",2019-12-28,486896000.0,9709003000.0,AAP,157.0800018310547
20571,1158449,"ADVANCE AUTO PARTS, INC.",2021-01-02,493021000.0,10106321000.0,AAP,147.6999969482422
23588,1158449,"ADVANCE AUTO PARTS, INC.",2022-01-01,616108000.0,10997989000.0,AAP,220.72000122070312
7796,320193,Apple Inc.,2016-09-24,45687000000.0,215639000000.0,AAPL,26.052499771118164
10037,320193,Apple Inc.,2017-09-30,48351000000.0,229234000000.0,AAPL,37.182498931884766
12557,320193,Apple Inc.,2018-09-29,59531000000.0,265595000000.0,AAPL,56.907501220703125
15203,320193,Apple Inc.,2019-09-28,55256000000.0,260174000000.0,AAPL,53.2599983215332
18068,320193,Apple Inc.,2020-09-26,57411000000.0,274515000000.0,AAPL,106.26000213623048
20998,320193,Apple Inc.,2021-09-25,94680000000.0,365817000000.0,AAPL,145.86000061035156
2448,1500217,"American Assets Trust, Inc.",2011-12-31,2917000.0,202785000.0,AAT,20.63999938964844
3375,1500217,"American Assets Trust, Inc.",2012-12-31,34938000.0,235466000.0,AAT,27.229999542236328
4525,1500217,"American Assets Trust, Inc.",2013-12-31,15220000.0,255057000.0,AAT,31.190000534057617
5712,1500217,"American Assets Trust, Inc.",2014-12-31,21756000.0,260000000.0,AAT,39.29999923706055
7083,1500217,"American Assets Trust, Inc.",2015-12-31,38509000.0,275623000.0,AAT,39.810001373291016
9398,1500217,"American Assets Trust, Inc.",2016-12-31,32585000.0,295088000.0,AAT,40.060001373291016
10427,1500217,"American Assets Trust, Inc.",2017-12-31,29077000.0,314983000.0,AAT,39.36000061035156
14769,1500217,"American Assets Trust, Inc.",2018-12-31,19686000.0,330867000.0,AAT,41.619998931884766
8170,1004434,"AFFILIATED MANAGERS GROUP, INC.",2016-12-31,472800000.0,2194600000.0,AATRL,54.0
11524,1004434,"AFFILIATED MANAGERS GROUP, INC.",2017-12-31,689500000.0,2305000000.0,AATRL,64.0
13414,1004434,"AFFILIATED MANAGERS GROUP, INC.",2018-12-31,243600000.0,2378400000.0,AATRL,52.97999954223633
15465,1004434,"AFFILIATED MANAGERS GROUP, INC.",2019-12-31,15700000.0,2239600000.0,AATRL,47.25
20200,1004434,"AFFILIATED MANAGERS GROUP, INC.",2020-12-31,202200000.0,2027500000.0,AATRL,48.61000061035156
22943,1004434,"AFFILIATED MANAGERS GROUP, INC.",2021-12-31,565700000.0,2412400000.0,AATRL,59.22999954223633
18428,1756390,"ASCEND WELLNESS HOLDINGS, INC.",2020-12-31,-25439000.0,143732000.0,AAWH,
22116,1756390,"ASCEND WELLNESS HOLDINGS, INC.",2021-12-31,-122657000.0,332381000.0,AAWH,5.949999809265137
6885,1135185,"Atlas Air Worldwide Holdings, Inc.",2015-12-31,7286000.0,1822659000.0,AAWW,41.31999969482422
8970,1135185,"Atlas Air Worldwide Holdings, Inc.",2016-12-31,41516000.0,1839627000.0,AAWW,49.400001525878906
11718,1135185,"Atlas Air Worldwide Holdings, Inc.",2017-12-31,223473000.0,2156460000.0,AAWW,57.75
13142,1135185,"Atlas Air Worldwide Holdings, Inc.",2018-12-31,270567000.0,2677724000.0,AAWW,53.25
16833,1135185,"Atlas Air Worldwide Holdings, Inc.",2019-12-31,-293113000.0,2739189000.0,AAWW,26.09000015258789
19573,1135185,"Atlas Air Worldwide Holdings, Inc.",2020-12-31,360286000.0,3211116000.0,AAWW,55.810001373291016
22578,1135185,"Atlas Air Worldwide Holdings, Inc.",2021-12-31,493317000.0,4030829000.0,AAWW,87.61000061035156
719,1091587,ABB LTD,2009-12-31,2901000000.0,31795000000.0,ABB,19.100000381469727
1443,1091587,ABB LTD,2010-12-31,2561000000.0,31589000000.0,ABB,19.36000061035156
9670,1551152,ABBVIE INC.,2016-12-31,5953000000.0,25638000000.0,ABBV,60.79999923706055
10895,1551152,ABBVIE INC.,2017-12-31,5309000000.0,28216000000.0,ABBV,96.91999816894533
14142,1551152,ABBVIE INC.,2018-12-31,5687000000.0,32753000000.0,ABBV,77.8499984741211
15772,1551152,AbbVie Inc.,2019-12-31,7882000000.0,33266000000.0,ABBV,87.7300033569336
18730,1551152,AbbVie Inc.,2020-12-31,4616000000.0,45804000000.0,ABBV,104.58000183105467
22655,1551152,AbbVie Inc.,2021-12-31,11542000000.0,56197000000.0,ABBV,115.27999877929688
29,1140859,AMERISOURCEBERGEN CORP,2009-09-30,503397000.0,71759990000.0,ABC,21.309999465942383
892,1140859,AMERISOURCEBERGEN CORP,2010-09-30,636748000.0,76496106000.0,ABC,29.96999931335449
1875,1140859,AMERISOURCEBERGEN CORP,2011-09-30,706624000.0,78695659000.0,ABC,38.310001373291016
2947,1140859,AMERISOURCEBERGEN CORP,2012-09-30,718986000.0,78080806000.0,ABC,39.70000076293945
4116,1140859,AMERISOURCEBERGEN CORP,2013-09-30,433707000.0,87959167000.0,ABC,58.27000045776367
5271,1140859,AMERISOURCEBERGEN CORP,2014-09-30,274230000.0,119569127000.0,ABC,77.38999938964844
6473,1140859,AMERISOURCEBERGEN CORP,2015-09-30,-138165000.0,135961803000.0,ABC,100.04000091552734
7831,1140859,AMERISOURCEBERGEN CORP,2016-09-30,1427929000.0,146849686000.0,ABC,86.97000122070312
10059,1140859,AMERISOURCEBERGEN CORP,2017-09-30,364484000.0,153143826000.0,ABC,93.81999969482422
12587,1140859,AMERISOURCEBERGEN CORP,2018-09-30,1658405000.0,167939635000.0,ABC,89.97000122070312
15278,1140859,AMERISOURCEBERGEN CORP,2019-09-30,855365000.0,179589121000.0,ABC,82.2699966430664
18146,1140859,AMERISOURCEBERGEN CORP,2020-09-30,-3408716000.0,189893926000.0,ABC,97.02999877929688
21096,1140859,AMERISOURCEBERGEN CORP,2021-09-30,1539932000.0,213988843000.0,ABC,122.20999908447266
18589,1703057,AbCellera Biologics Inc.,2020-12-31,118918000.0,233155000.0,ABCL,40.2400016784668
21692,1703057,AbCellera Biologics Inc.,2021-12-31,153464000.0,375203000.0,ABCL,14.960000038146973
338,1144980,"Asbury Automotive Group, Inc.",2009-12-31,13400000.0,3371800000.0,ABG,11.529999732971191
1390,1144980,"Asbury Automotive Group, Inc.",2010-12-31,38100000.0,3761400000.0,ABG,15.739999771118164
2630,1144980,"Asbury Automotive Group, Inc.",2011-12-31,67900000.0,4141400000.0,ABG,19.71999931335449
3895,1144980,"Asbury Automotive Group, Inc.",2012-12-31,82200000.0,4641800000.0,ABG,30.190000534057617
4324,1144980,"Asbury Automotive Group, Inc.",2013-12-31,109100000.0,5334900000.0,ABG,51.91999816894531
6103,1144980,"Asbury Automotive Group, Inc.",2014-12-31,111600000.0,5867700000.0,ABG,75.70999908447266
7117,1144980,"Asbury Automotive Group, Inc.",2015-12-31,169200000.0,6588300000.0,ABG,75.0999984741211
8250,1144980,"Asbury Automotive Group, Inc.",2016-12-31,167200000.0,6527800000.0,ABG,58.75
11760,1144980,"Asbury Automotive Group, Inc.",2017-12-31,139100000.0,6456500000.0,ABG,65.80000305175781
14017,1144980,"Asbury Automotive Group, Inc.",2018-12-31,168000000.0,6874400000.0,ABG,66.66000366210938
16399,1144980,"ASBURY AUTOMOTIVE GROUP, INC",2019-12-31,184400000.0,7210300000.0,ABG,110.83999633789062
19807,1144980,"ASBURY AUTOMOTIVE GROUP, INC",2020-12-31,254400000.0,7131800000.0,ABG,112.7699966430664
23235,1144980,"ASBURY AUTOMOTIVE GROUP, INC",2021-12-31,532400000.0,9837700000.0,ABG,163.63999938964844
745,1091587,ABB LTD,2009-12-31,2901000000.0,31795000000.0,ABLZF,18.950000762939453
1442,1091587,ABB LTD,2010-12-31,2561000000.0,31589000000.0,ABLZF,19.649999618530277
10159,771497,ABM Industries Incorporated,2017-10-31,3800000.0,5453600000.0,ABM,44.43000030517578
12666,771497,ABM Industries Incorporated,2018-10-31,97800000.0,6442200000.0,ABM,32.25
15310,771497,ABM INDUSTRIES INC,2019-10-31,127400000.0,6498600000.0,ABM,36.31999969482422
18183,771497,ABM INDUSTRIES INC,2020-10-31,300000.0,5987600000.0,ABM,36.65999984741211
21139,771497,ABM INDUSTRIES INC,2021-10-31,126300000.0,6228600000.0,ABM,45.0099983215332
1764,815094,"ABIOMED, INC.",2011-03-31,-11755000.0,101151000.0,ABMD,12.470000267028809
2860,815094,"ABIOMED, INC.",2012-03-31,1495000.0,126375000.0,ABMD,18.5
4002,815094,"ABIOMED, INC.",2013-03-31,15014000.0,158124000.0,ABMD,16.040000915527344
5170,815094,"ABIOMED, INC.",2014-03-31,7351000.0,183643000.0,ABMD,28.190000534057617
6386,815094,"ABIOMED, INC.",2015-03-31,113688000.0,230311000.0,ABMD,60.790000915527344
7647,815094,"ABIOMED, INC.",2016-03-31,38147000.0,329543000.0,ABMD,80.01000213623047
9812,815094,"ABIOMED, INC.",2017-03-31,52116000.0,445304000.0,ABMD,117.97000122070312
12352,815094,"ABIOMED, INC.",2018-03-31,112170000.0,593749000.0,ABMD,235.0
14982,815094,"ABIOMED, INC.",2019-03-31,259016000.0,769432000.0,ABMD,334.5
17870,815094,"ABIOMED, Inc.",2020-03-31,203009000.0,840883000.0,ABMD,150.25999450683594
20796,815094,"ABIOMED, Inc.",2021-03-31,225525000.0,847522000.0,ABMD,324.54998779296875
23809,815094,"ABIOMED, Inc.",2022-03-31,136505000.0,1031753000.0,ABMD,310.739990234375
15950,1559720,"Airbnb, Inc.",2019-12-31,-674339000.0,4805239000.0,ABNB,
18667,1559720,"Airbnb, Inc.",2020-12-31,-4584716000.0,3378199000.0,ABNB,146.8000030517578
22202,1559720,"Airbnb, Inc.",2021-12-31,-352034000.0,5991760000.0,ABNB,172.5399932861328
8798,1800,ABBOTT LABORATORIES,2016-12-31,1400000000.0,20853000000.0,ABT,38.06999969482422
10339,1800,ABBOTT LABORATORIES,2017-12-31,477000000.0,27390000000.0,ABT,56.369998931884766
14801,1800,ABBOTT LABORATORIES,2018-12-31,2368000000.0,30578000000.0,ABT,74.05000305175781
17191,1800,Abbott Laboratories,2019-12-31,3687000000.0,31904000000.0,ABT,85.44999694824219
19580,1800,Abbott Laboratories,2020-12-31,4495000000.0,34608000000.0,ABT,108.22000122070312
22254,1800,Abbott Laboratories,2021-12-31,7071000000.0,43075000000.0,ABT,125.7699966430664
8821,1739445,"Arcosa, Inc.",2016-12-31,123000000.0,1704000000.0,ACA,
10609,1739445,"Arcosa, Inc.",2017-12-31,89700000.0,1462400000.0,ACA,
14500,1739445,"Arcosa, Inc.",2018-12-31,75700000.0,1460400000.0,ACA,27.34000015258789
17208,1739445,"Arcosa, Inc.",2019-12-31,113300000.0,1736900000.0,ACA,39.209999084472656
18620,1739445,"Arcosa, Inc.",2020-12-31,106600000.0,1935600000.0,ACA,51.88999938964844
22262,1739445,"Arcosa, Inc.",2021-12-31,69600000.0,2036400000.0,ACA,51.16999816894531
11222,1070494,ACADIA PHARMACEUTICALS INC,2017-12-31,-289403000.0,124901000.0,ACAD,30.25
13066,1070494,ACADIA PHARMACEUTICALS INC,2018-12-31,-245192000.0,223807000.0,ACAD,19.059999465942383
17498,1070494,ACADIA PHARMACEUTICALS INC,2019-12-31,-235259000.0,339076000.0,ACAD,45.290000915527344
18953,1070494,ACADIA PHARMACEUTICALS INC,2020-12-31,-281584000.0,441755000.0,ACAD,56.65999984741211
23422,1070494,ACADIA PHARMACEUTICALS INC,2021-12-31,-167870000.0,484145000.0,ACAD,19.200000762939453
104,1283630,"AMERICAN CAMPUS COMMUNITIES, INC.",2009-12-31,-12840000.0,290073000.0,ACC,28.100000381469727
1185,1283630,"AMERICAN CAMPUS COMMUNITIES, INC.",2010-12-31,16210000.0,326110000.0,ACC,31.440000534057617
2691,1283630,"AMERICAN CAMPUS COMMUNITIES, INC.",2011-12-31,56629000.0,386767000.0,ACC,39.34000015258789
3616,1283630,"AMERICAN CAMPUS COMMUNITIES, INC.",2012-12-31,56636000.0,465655000.0,ACC,43.79999923706055
4345,1283630,"AMERICAN CAMPUS COMMUNITIES, INC.",2013-12-31,104644000.0,657462000.0,ACC,32.43000030517578
5886,1283630,"AMERICAN CAMPUS COMMUNITIES, INC.",2014-12-31,62839000.0,733915000.0,ACC,40.0
6567,1283630,"AMERICAN CAMPUS COMMUNITIES, INC.",2015-12-31,115991000.0,753381000.0,ACC,40.400001525878906
8318,1283630,"AMERICAN CAMPUS COMMUNITIES, INC.",2016-12-31,99061000.0,786361000.0,ACC,47.11000061035156
12059,1283630,"AMERICAN CAMPUS COMMUNITIES, INC.",2017-12-31,69038000.0,796447000.0,ACC,42.380001068115234
13659,1283630,"AMERICAN CAMPUS COMMUNITIES, INC.",2018-12-31,117095000.0,880810000.0,ACC,43.83000183105469
16571,1283630,"AMERICAN CAMPUS COMMUNITIES, INC.",2019-12-31,84969000.0,943042000.0,ACC,48.040000915527344
19680,1283630,"AMERICAN CAMPUS COMMUNITIES, INC.",2020-12-31,72803000.0,870584000.0,ACC,39.79999923706055
21414,1283630,"AMERICAN CAMPUS COMMUNITIES, INC.",2021-12-31,35489000.0,942409000.0,ACC,51.7400016784668
17779,1481646,"ACCOLADE, INC.",2020-02-29,-51365000.0,132507000.0,ACCD,
20718,1481646,"ACCOLADE, INC.",2021-02-28,-50652000.0,170358000.0,ACCD,43.5
23745,1481646,"ACCOLADE, INC.",2022-02-28,-123124000.0,310021000.0,ACCD,19.100000381469727
9598,712034,ACCO Brands Corporation,2016-12-31,95500000.0,1557100000.0,ACCO,12.449999809265137
10790,712034,ACCO Brands Corporation,2017-12-31,131700000.0,1948800000.0,ACCO,13.149999618530272
13228,712034,ACCO Brands Corporation,2018-12-31,106700000.0,1941200000.0,ACCO,8.119999885559082
15778,712034,ACCO Brands Corporation,2019-12-31,106800000.0,1955700000.0,ACCO,9.149999618530272
20507,712034,ACCO Brands Corporation,2020-12-31,62000000.0,1655200000.0,ACCO,7.659999847412109
22312,712034,ACCO Brands Corporation,2021-12-31,101900000.0,2025300000.0,ACCO,8.260000228881836
71,947484,Arch Capital Group Ltd.,2009-12-31,876945000.0,3501622000.0,ACGL,7.949999809265137
1383,947484,Arch Capital Group Ltd.,2010-12-31,842672000.0,3244067000.0,ACGL,10.033332824707031
2371,947484,Arch Capital Group Ltd.,2011-12-31,436163000.0,3063307000.0,ACGL,
3938,947484,Arch Capital Group Ltd.,2012-12-31,593397000.0,3482381000.0,ACGL,15.033332824707031
5096,947484,Arch Capital Group Ltd.,2013-12-31,709731000.0,3526157000.0,ACGL,19.61000061035156
6002,947484,Arch Capital Group Ltd.,2014-12-31,834355000.0,3988873000.0,ACGL,19.106666564941406
6865,947484,Arch Capital Group Ltd.,2015-12-31,537738000.0,3936590000.0,ACGL,24.156667709350582
9096,947484,Arch Capital Group Ltd.,2016-12-31,692738000.0,4463556000.0,ACGL,25.989999771118164
11102,947484,Arch Capital Group Ltd.,2017-12-31,619278000.0,5627375000.0,ACGL,31.56333351135254
14191,947484,Arch Capital Group Ltd.,2018-12-31,757971000.0,5450568000.0,ACGL,28.6200008392334
16131,947484,ARCH CAPITAL GROUP LTD.,2019-12-31,1636319000.0,6925967000.0,ACGL,41.970001220703125
19991,947484,ARCH CAPITAL GROUP LTD.,2020-12-31,1405521000.0,8508509000.0,ACGL,32.20000076293945
22165,947484,ARCH CAPITAL GROUP LTD.,2021-12-31,2156849000.0,9249980000.0,ACGL,40.380001068115234
126,947484,Arch Capital Group Ltd.,2009-12-31,876945000.0,3501622000.0,ACGLN,
1392,947484,Arch Capital Group Ltd.,2010-12-31,842672000.0,3244067000.0,ACGLN,
2370,947484,Arch Capital Group Ltd.,2011-12-31,436163000.0,3063307000.0,ACGLN,
3949,947484,Arch Capital Group Ltd.,2012-12-31,593397000.0,3482381000.0,ACGLN,
5082,947484,Arch Capital Group Ltd.,2013-12-31,709731000.0,3526157000.0,ACGLN,
6001,947484,Arch Capital Group Ltd.,2014-12-31,834355000.0,3988873000.0,ACGLN,
6868,947484,Arch Capital Group Ltd.,2015-12-31,537738000.0,3936590000.0,ACGLN,
9113,947484,Arch Capital Group Ltd.,2016-12-31,692738000.0,4463556000.0,ACGLN,
11137,947484,Arch Capital Group Ltd.,2017-12-31,619278000.0,5627375000.0,ACGLN,
14218,947484,Arch Capital Group Ltd.,2018-12-31,757971000.0,5450568000.0,ACGLN,
16128,947484,ARCH CAPITAL GROUP LTD.,2019-12-31,1636319000.0,6925967000.0,ACGLN,
19990,947484,ARCH CAPITAL GROUP LTD.,2020-12-31,1405521000.0,8508509000.0,ACGLN,
22216,947484,ARCH CAPITAL GROUP LTD.,2021-12-31,2156849000.0,9249980000.0,ACGLN,25.489999771118164
96,947484,Arch Capital Group Ltd.,2009-12-31,876945000.0,3501622000.0,ACGLO,
1385,947484,Arch Capital Group Ltd.,2010-12-31,842672000.0,3244067000.0,ACGLO,
2375,947484,Arch Capital Group Ltd.,2011-12-31,436163000.0,3063307000.0,ACGLO,
3940,947484,Arch Capital Group Ltd.,2012-12-31,593397000.0,3482381000.0,ACGLO,
5090,947484,Arch Capital Group Ltd.,2013-12-31,709731000.0,3526157000.0,ACGLO,
6024,947484,Arch Capital Group Ltd.,2014-12-31,834355000.0,3988873000.0,ACGLO,
6933,947484,Arch Capital Group Ltd.,2015-12-31,537738000.0,3936590000.0,ACGLO,
9115,947484,Arch Capital Group Ltd.,2016-12-31,692738000.0,4463556000.0,ACGLO,
11136,947484,Arch Capital Group Ltd.,2017-12-31,619278000.0,5627375000.0,ACGLO,25.670000076293945
14217,947484,Arch Capital Group Ltd.,2018-12-31,757971000.0,5450568000.0,ACGLO,21.700000762939453
16130,947484,ARCH CAPITAL GROUP LTD.,2019-12-31,1636319000.0,6925967000.0,ACGLO,25.56999969482422
19997,947484,ARCH CAPITAL GROUP LTD.,2020-12-31,1405521000.0,8508509000.0,ACGLO,26.520000457763672
22166,947484,ARCH CAPITAL GROUP LTD.,2021-12-31,2156849000.0,9249980000.0,ACGLO,25.51000022888184
9093,1520697,"Acadia Healthcare Company, Inc.",2016-12-31,6143000.0,2810914000.0,ACHC,35.959999084472656
10409,1520697,"Acadia Healthcare Company, Inc.",2017-12-31,199835000.0,2836316000.0,ACHC,31.82999992370605
13333,1520697,"Acadia Healthcare Company, Inc.",2018-12-31,-175750000.0,1904695000.0,ACHC,33.970001220703125
15693,1520697,"ACADIA HEALTHCARE COMPANY, INC.",2019-12-31,108923000.0,2008381000.0,ACHC,32.15999984741211
18903,1520697,"ACADIA HEALTHCARE COMPANY, INC.",2020-12-31,-672132000.0,2089929000.0,ACHC,42.45000076293945
22610,1520697,"ACADIA HEALTHCARE COMPANY, INC.",2021-12-31,190635000.0,2314394000.0,ACHC,56.16999816894531
9776,1646972,"Albertsons Companies, Inc.",2017-02-25,-373300000.0,59678200000.0,ACI,
12275,1646972,"Albertsons Companies, Inc.",2018-02-24,46300000.0,59924600000.0,ACI,
14914,1646972,"Albertsons Companies, Inc.",2019-02-23,131100000.0,60534500000.0,ACI,
17780,1646972,"Albertsons Companies, Inc.",2020-02-29,466400000.0,62455100000.0,ACI,
20712,1646972,"Albertsons Companies, Inc.",2021-02-27,850200000.0,69690400000.0,ACI,17.579999923706055
23742,1646972,"Albertsons Companies, Inc.",2022-02-26,1619600000.0,71887000000.0,ACI,28.149999618530277
8294,935036,"ACI WORLDWIDE, INC.",2016-12-31,129535000.0,1005701000.0,ACIW,18.61000061035156
11648,935036,"ACI WORLDWIDE, INC.",2017-12-31,5135000.0,1024191000.0,ACIW,22.8799991607666
14065,935036,"ACI WORLDWIDE, INC.",2018-12-31,68921000.0,1009780000.0,ACIW,28.8799991607666
15581,935036,"ACI WORLDWIDE, INC.",2019-12-31,67062000.0,1258294000.0,ACIW,37.5
20143,935036,"ACI WORLDWIDE, INC.",2020-12-31,72660000.0,1294322000.0,ACIW,32.58000183105469
22924,935036,"ACI WORLDWIDE, INC.",2021-12-31,127791000.0,1370598000.0,ACIW,29.13999938964844
10088,868857,AECOM,2017-09-30,339390000.0,18203402000.0,ACM,31.899999618530277
12622,868857,AECOM,2018-09-30,136468000.0,13878316000.0,ACM,33.63999938964844
15231,868857,AECOM,2019-09-30,-261050000.0,13642455000.0,ACM,35.47999954223633
18102,868857,AECOM,2020-09-30,-186370000.0,13239976000.0,ACM,39.5099983215332
21061,868857,AECOM,2021-09-30,173185000.0,13340852000.0,ACM,65.55999755859375
16357,1680062,"ACM Research, Inc.",2019-12-31,18894000.0,107524000.0,ACMR,4.603332996368408
18702,1680062,"ACM Research, Inc.",2020-12-31,18780000.0,156624000.0,ACMR,27.540000915527344
22113,1680062,"ACM Research, Inc.",2021-12-31,37757000.0,259751000.0,ACMR,29.13999938964844
18,1467373,Accenture plc,2009-08-31,1589963000.0,23170968000.0,ACN,33.0
