,cik,ticker,name,date,shares,netincome,revenue,pe,close,revenue growth for previous 2 years,income growth for previous 2 years,price growth for previous 2 years,price growth for next 2 years,revtimesincome,revplusincome,revtimesrev,inctimesinc,pricetimesrev,priceplusrev,priceplusrevplusinc,inctimestimesrev
10,1500217,AAT,"American Assets Trust, Inc.",2013-12-31,39539457.0,15220000.0,255057000.0,4.835137576880259,31.190000534057617,0.121,1.285,0.229,0.133,0.15548499999999998,1.406,0.014641,1.6512249999999997,0.027709,0.35,1.6349999999999998,0.024175585224999994
11,1500217,AAT,"American Assets Trust, Inc.",2014-12-31,42041126.0,21756000.0,260000000.0,6.354677768173716,39.29999923706055,0.051,-0.211,0.201,0.001,-0.010761,-0.16,0.0026009999999999996,-0.044521,0.010251,0.252,0.04100000000000001,-0.00011579912099999997
12,1500217,AAT,"American Assets Trust, Inc.",2015-12-31,44439112.0,38509000.0,275623000.0,6.41862656508286,39.810001373291016,0.039,0.59,0.13,0.022,0.02301,0.629,0.001521,0.34809999999999997,0.00507,0.169,0.759,0.0005294601
13,1500217,AAT,"American Assets Trust, Inc.",2016-12-31,45332471.0,32585000.0,295088000.0,6.154160286133883,40.060001373291016,0.065,0.224,0.009,0.019,0.01456,0.28900000000000003,0.0042250000000000005,0.050176000000000005,0.000585,0.074,0.298,0.00021199360000000004
14,1004434,AATRL,"AFFILIATED MANAGERS GROUP, INC.",2018-12-31,53600000.0,243600000.0,2378400000.0,1.193965680904754,52.97999954223633,0.041,-0.283,-0.009,0.057,-0.011602999999999999,-0.24199999999999997,0.0016810000000000002,-0.08008899999999998,-0.00036899999999999997,0.032,-0.251,-0.000134629609
15,1135185,AAWW,"Atlas Air Worldwide Holdings, Inc.",2018-12-31,25542000.0,270567000.0,2677724000.0,0.507935657297018,53.25,0.206,1.553,0.038,0.283,0.319918,1.759,0.042435999999999995,2.411809,0.007828,0.244,1.797,0.10234752672399998
16,1135185,AAWW,"Atlas Air Worldwide Holdings, Inc.",2019-12-31,25828000.0,-293113000.0,2739189000.0,0.2460043917893362,26.09000015258789,0.127,0.101,-0.328,0.833,0.012827000000000002,0.228,0.016129,0.010201000000000002,-0.041656000000000006,-0.201,-0.1,0.00016453192900000004
17,1551152,ABBV,ABBVIE INC.,2018-12-31,1541000000.0,5687000000.0,32753000000.0,3.6627743305535554,77.8499984741211,0.131,-0.023,0.131,0.217,-0.003013,0.10800000000000001,0.017161000000000003,-0.000529,0.017161000000000003,0.262,0.23900000000000002,-9.078169e-06
18,1551152,ABBV,AbbVie Inc.,2019-12-31,1481000000.0,7882000000.0,33266000000.0,3.905733631083348,87.7300033569336,0.086,0.218,-0.049,0.146,0.018747999999999997,0.304,0.007395999999999999,0.047524,-0.004214,0.03699999999999999,0.255,0.00035148750399999993
19,1140859,ABC,AMERISOURCEBERGEN CORP,2011-09-30,272471000.0,706624000.0,78695659000.0,0.1326421878515812,38.310001373291016,0.047,0.185,0.34,0.421,0.008695,0.23199999999999998,0.002209,0.034225,0.01598,0.387,0.5720000000000001,7.5603025e-05
20,1140859,ABC,AMERISOURCEBERGEN CORP,2012-09-30,252906000.0,718986000.0,78080806000.0,0.1285894563249253,39.70000076293945,0.01,0.062,0.151,0.588,0.00062,0.072,0.0001,0.0038439999999999998,0.00151,0.161,0.223,3.844e-07
21,1140859,ABC,AMERISOURCEBERGEN CORP,2013-09-30,231067.0,433707000.0,87959167000.0,0.0001530741440033,58.27000045776367,0.057,-0.217,0.233,0.222,-0.012369,-0.16,0.003249,-0.047089,0.013281000000000001,0.29000000000000004,0.07300000000000004,-0.000152992161
22,1140859,ABC,AMERISOURCEBERGEN CORP,2014-09-30,227367000.0,274230000.0,119569127000.0,0.1471611646978588,77.38999938964844,0.238,-0.383,0.396,0.101,-0.091154,-0.14500000000000002,0.05664399999999999,-0.146689,0.094248,0.634,0.251,-0.008309051716
23,1140859,ABC,AMERISOURCEBERGEN CORP,2015-09-30,217786000.0,-138165000.0,135961803000.0,0.1602458275681224,100.04000091552734,0.243,-0.205,0.31,-0.052,-0.049815,0.038000000000000006,0.059049,-0.04202499999999999,0.07533,0.5529999999999999,0.348,-0.0024815342249999996
24,1140859,ABC,AMERISOURCEBERGEN CORP,2016-09-30,212206000.0,1427929000.0,146849686000.0,0.1256765103266242,86.97000122070312,0.108,0.001,0.06,-0.027,0.000108,0.109,0.011663999999999999,1e-06,0.00648,0.16799999999999998,0.16899999999999998,1.1663999999999998e-08
25,1140859,ABC,AMERISOURCEBERGEN CORP,2017-09-30,218375000.0,364484000.0,153143826000.0,0.133782359814866,93.81999969482422,0.061,-0.495,-0.032,0.017,-0.030195,-0.434,0.003721,-0.245025,-0.001952,0.028999999999999998,-0.46599999999999997,-0.0009117380249999999
26,1140859,ABC,AMERISOURCEBERGEN CORP,2018-09-30,217872000.0,1658405000.0,167939635000.0,0.1167201780923069,89.97000122070312,0.07,0.077,0.017,0.165,0.005390000000000001,0.14700000000000002,0.004900000000000001,0.005929,0.0011900000000000003,0.08700000000000001,0.164,2.9052100000000006e-05
27,1140859,ABC,AMERISOURCEBERGEN CORP,2019-09-30,210165000.0,855365000.0,179589121000.0,0.0962768443222685,82.2699966430664,0.083,0.532,-0.064,0.219,0.04415600000000001,0.615,0.006889000000000001,0.28302400000000005,-0.005312000000000001,0.019000000000000003,0.551,0.0019497523360000007
28,1144980,ABG,"Asbury Automotive Group, Inc.",2011-12-31,31800000.0,67900000.0,4141400000.0,0.1514212532391637,19.71999931335449,0.108,1.251,0.308,0.959,0.13510799999999998,1.359,0.011663999999999999,1.5650009999999996,0.033264,0.416,1.6669999999999998,0.018254171663999993
29,1144980,ABG,"Asbury Automotive Group, Inc.",2012-12-31,31100000.0,82200000.0,4641800000.0,0.2022726133416329,30.190000534057617,0.111,0.469,0.385,0.577,0.052058999999999994,0.58,0.012321,0.21996099999999996,0.042735,0.496,0.965,0.0027101394809999997
30,1144980,ABG,"Asbury Automotive Group, Inc.",2013-12-31,30700000.0,109100000.0,5334900000.0,0.2987767237973759,51.91999816894531,0.135,0.268,0.623,0.064,0.036180000000000004,0.403,0.018225,0.07182400000000001,0.084105,0.758,1.026,0.0013089924000000003
31,1144980,ABG,"Asbury Automotive Group, Inc.",2014-12-31,29900000.0,111600000.0,5867700000.0,0.3857949405432678,75.70999908447266,0.124,0.165,0.584,-0.068,0.020460000000000002,0.28900000000000003,0.015375999999999999,0.027225000000000003,0.072416,0.708,0.873,0.00041861160000000004
32,1144980,ABG,"Asbury Automotive Group, Inc.",2015-12-31,26300000.0,169200000.0,6588300000.0,0.2997935673647807,75.0999984741211,0.111,0.245,0.203,-0.058,0.027195,0.356,0.012321,0.060024999999999995,0.022533,0.314,0.5589999999999999,0.0007395680249999999
33,1144980,ABG,"Asbury Automotive Group, Inc.",2016-12-31,22500000.0,167200000.0,6527800000.0,0.2024993106406446,58.75,0.055,0.224,-0.119,0.374,0.012320000000000001,0.279,0.003025,0.050176000000000005,-0.006545,-0.064,0.16,0.00015178240000000002
34,1144980,ABG,"Asbury Automotive Group, Inc.",2017-12-31,20800000.0,139100000.0,6456500000.0,0.2119786360220804,65.80000305175781,-0.01,-0.093,-0.064,0.309,0.00093,-0.103,-0.0001,-0.008649,-0.00064,-0.074,-0.16699999999999998,-8.649000000000001e-07
35,1144980,ABG,"Asbury Automotive Group, Inc.",2018-12-31,20100000.0,168000000.0,6874400000.0,0.1949066207390315,66.66000366210938,0.026,0.003,0.065,0.567,7.8e-05,0.028999999999999998,0.000676,9e-06,0.0016899999999999999,0.091,0.094,6.084e-09
36,1144980,ABG,"ASBURY AUTOMOTIVE GROUP, INC",2019-12-31,19100000.0,184400000.0,7210300000.0,0.2936138482523211,110.83999633789062,0.057,0.152,0.298,0.215,0.008664,0.209,0.003249,0.023104,0.016986,0.355,0.507,7.5064896e-05
37,815094,ABMD,"ABIOMED, INC.",2014-03-31,39334000.0,7351000.0,183643000.0,6.037940357141967,28.190000534057617,0.205,1.218,0.234,1.045,0.24968999999999997,1.423,0.04202499999999999,1.4835239999999998,0.04797,0.439,1.657,0.06234509609999998
38,815094,ABMD,"ABIOMED, INC.",2017-03-31,43238000.0,52116000.0,445304000.0,11.454617323852384,117.97000122070312,0.39,-0.323,0.393,0.128,-0.12597,0.067,0.1521,-0.104329,0.15327000000000002,0.783,0.46,-0.015868440900000003
39,815094,ABMD,"ABIOMED, INC.",2019-03-31,44911000.0,259016000.0,769432000.0,19.52444075629815,334.5,0.314,1.229,0.684,-0.037,0.385906,1.5430000000000001,0.098596,1.5104410000000001,0.21477600000000002,0.998,2.2270000000000003,0.148923440836
40,815094,ABMD,"ABIOMED, Inc.",2020-03-31,45179.0,203009000.0,840883000.0,0.0080731758066512,150.25999450683594,0.19,0.345,-0.201,0.438,0.06555,0.5349999999999999,0.0361,0.11902499999999998,-0.03819,-0.01100000000000001,0.33399999999999996,0.0042968024999999995
41,1800,ABT,ABBOTT LABORATORIES,2018-12-31,1758000000.0,2368000000.0,30578000000.0,4.2573060816596975,74.05000305175781,0.21,0.301,0.395,0.303,0.06321,0.511,0.04409999999999999,0.09060099999999999,0.08295,0.605,0.9059999999999999,0.003995504099999999
42,1800,ABT,Abbott Laboratories,2019-12-31,1768000000.0,3687000000.0,31904000000.0,4.735318286249128,85.44999694824219,0.079,1.78,0.231,0.213,0.14062,1.859,0.006241,3.1684,0.018249,0.31,2.09,0.0197739844
43,1283630,ACC,"AMERICAN CAMPUS COMMUNITIES, INC.",2011-12-31,69243203.0,56629000.0,386767000.0,7.043071452801491,39.34000015258789,0.155,0.87,0.183,0.008,0.13485,1.025,0.024025,0.7569,0.028364999999999998,0.33799999999999997,1.208,0.0181845225
44,1283630,ACC,"AMERICAN CAMPUS COMMUNITIES, INC.",2013-12-31,104760502.0,104644000.0,657462000.0,5.167421252985523,32.43000030517578,0.304,0.359,-0.092,0.205,0.109136,0.663,0.092416,0.128881,-0.027968,0.212,0.571,0.011910666496
45,1283630,ACC,"AMERICAN CAMPUS COMMUNITIES, INC.",2014-12-31,105032155.0,62839000.0,733915000.0,5.724486078088062,40.0,0.255,0.054,-0.045,0.03,0.01377,0.309,0.065025,0.0029159999999999998,-0.011474999999999999,0.21000000000000002,0.264,0.00018961289999999998
46,1283630,ACC,"AMERICAN CAMPUS COMMUNITIES, INC.",2015-12-31,111987361.0,115991000.0,753381000.0,6.005314117663111,40.400001525878906,0.071,0.053,0.116,0.042,0.0037629999999999994,0.124,0.0050409999999999995,0.002809,0.008236,0.187,0.24,1.4160168999999997e-05
47,1283630,ACC,"AMERICAN CAMPUS COMMUNITIES, INC.",2016-12-31,129228748.0,99061000.0,786361000.0,7.741948541643048,47.11000061035156,0.035,0.256,0.085,0.01,0.008960000000000001,0.29100000000000004,0.0012250000000000002,0.065536,0.0029750000000000006,0.12000000000000001,0.376,8.028160000000001e-05
48,1283630,ACC,"AMERICAN CAMPUS COMMUNITIES, INC.",2017-12-31,135141423.0,69038000.0,796447000.0,7.191054333918783,42.380001068115234,0.028,-0.228,0.024,-0.031,-0.006384000000000001,-0.2,0.0007840000000000001,-0.051984,0.0006720000000000001,0.052000000000000005,-0.176,-4.0755456000000006e-05
49,1283630,ACC,"AMERICAN CAMPUS COMMUNITIES, INC.",2018-12-31,136815051.0,117095000.0,880810000.0,6.808056148143005,43.83000183105469,0.058,0.087,-0.035,0.086,0.005046,0.145,0.0033640000000000002,0.007568999999999999,-0.00203,0.023,0.10999999999999999,2.5462116e-05
50,1283630,ACC,"AMERICAN CAMPUS COMMUNITIES, INC.",2019-12-31,137295837.0,84969000.0,943042000.0,6.994059792859802,48.040000915527344,0.088,0.11,0.065,0.037,0.00968,0.198,0.007743999999999999,0.0121,0.00572,0.153,0.263,9.370239999999999e-05
51,712034,ACCO,ACCO Brands Corporation,2018-12-31,104800000.0,106700000.0,1941200000.0,0.4383762559275663,8.119999885559082,0.117,0.057,-0.193,0.008,0.0066690000000000004,0.17400000000000002,0.013689000000000002,0.003249,-0.022581,-0.076,-0.018999999999999996,4.4475561000000005e-05
52,712034,ACCO,ACCO Brands Corporation,2019-12-31,99500000.0,106800000.0,1955700000.0,0.4655238339437347,9.149999618530272,0.001,-0.1,-0.166,-0.05,-0.0001,-0.099,1e-06,-0.010000000000000002,-0.00016600000000000002,-0.165,-0.265,-1.0000000000000002e-08
53,947484,ACGL,Arch Capital Group Ltd.,2012-12-31,134446158.0,593397000.0,3482381000.0,0.5803999735287861,15.033332824707031,-0.003,-0.177,0.375,0.267,0.000531,-0.18,-9e-06,-0.031328999999999996,0.0011250000000000001,0.372,0.195,-2.81961e-07
54,947484,ACGL,Arch Capital Group Ltd.,2013-12-31,131355392.0,709731000.0,3526157000.0,0.7305061338145092,19.61000061035156,0.043,-0.082,0.398,0.151,-0.003526,-0.03900000000000001,0.0018489999999999997,-0.006724000000000001,0.017114,0.441,0.359,-1.2432676e-05
55,947484,ACGL,Arch Capital Group Ltd.,2014-12-31,130817610.0,834355000.0,3988873000.0,0.6266152006074258,19.106666564941406,0.07,0.186,0.127,0.285,0.01302,0.256,0.004900000000000001,0.034596,0.00889,0.197,0.383,0.00016952040000000004
56,947484,ACGL,Arch Capital Group Ltd.,2015-12-31,121786127.0,537738000.0,3936590000.0,0.7473338604090771,24.156667709350582,0.057,-0.13,0.11,0.088,-0.007410000000000001,-0.07300000000000001,0.003249,-0.016900000000000002,0.00627,0.167,0.037000000000000005,-5.490810000000001e-05
57,947484,ACGL,Arch Capital Group Ltd.,2016-12-31,362376342.0,692738000.0,4463556000.0,2.1100129685028346,25.989999771118164,0.058,-0.089,0.166,0.271,-0.005162,-0.030999999999999993,0.0033640000000000002,-0.007921,0.009628000000000001,0.224,0.135,-2.6646244e-05
58,947484,ACGL,Arch Capital Group Ltd.,2017-12-31,404138364.0,619278000.0,5627375000.0,2.266768069955244,31.56333351135254,0.196,0.073,0.143,0.01,0.014308,0.269,0.038416000000000006,0.0053289999999999995,0.028027999999999997,0.33899999999999997,0.412,0.00020471886400000002
59,947484,ACGL,Arch Capital Group Ltd.,2018-12-31,404347621.0,757971000.0,5450568000.0,2.123160238045288,28.6200008392334,0.105,0.046,0.049,0.187,0.00483,0.151,0.011024999999999998,0.002116,0.005145,0.154,0.2,2.3328899999999996e-05
60,947484,ACGL,ARCH CAPITAL GROUP LTD.,2019-12-31,401802815.0,1636319000.0,6925967000.0,2.434846229563605,41.970001220703125,0.11,0.626,0.153,-0.019,0.06886,0.736,0.0121,0.391876,0.01683,0.263,0.889,0.0047416996
61,947484,ACGLO,ARCH CAPITAL GROUP LTD.,2019-12-31,401802815.0,1636319000.0,6925967000.0,1.4834170964039408,25.56999969482422,0.11,0.626,-0.002,-0.001,0.06886,0.736,0.0121,0.391876,-0.00022,0.108,0.734,0.0047416996
62,1520697,ACHC,"ACADIA HEALTHCARE COMPANY, INC.",2019-12-31,87612000.0,108923000.0,2008381000.0,1.402922008638535,32.15999984741211,-0.158,0.001,0.005,0.321,-0.000158,-0.157,-0.024964,1e-06,0.00079,-0.153,-0.152,2.4963999999999998e-08
63,935036,ACIW,"ACI WORLDWIDE, INC.",2018-12-31,116057000.0,68921000.0,1009780000.0,3.3192636639674875,28.8799991607666,0.002,-0.267,0.245,0.004,-0.0005340000000000001,-0.265,4e-06,-0.071289,0.00049,0.247,-0.020000000000000018,-2.85156e-07
64,868857,ACM,AECOM,2019-09-30,157044000.0,-261050000.0,13642455000.0,0.4084251000359511,35.47999954223633,-0.135,-0.366,0.055,0.359,0.04941,-0.501,-0.018225,-0.133956,0.007425,-0.08000000000000002,-0.446,-0.0024413481
65,1467373,ACN,Accenture plc,2011-08-31,645631170.0,2277677000.0,27352914000.0,1.3959253847592987,59.13999938964844,0.086,0.197,0.339,0.158,0.016942,0.28300000000000003,0.007395999999999999,0.038809,0.029154,0.42500000000000004,0.6220000000000001,0.000287031364
66,1467373,ACN,Accenture plc,2012-08-31,643132601.0,2553510000.0,29777985000.0,1.3023344376601966,60.29999923706055,0.136,0.197,0.234,0.308,0.026792000000000003,0.333,0.018496000000000002,0.038809,0.031824000000000005,0.37,0.567,0.0007178112640000001
67,1467373,ACN,Accenture plc,2013-08-31,645536995.0,3281878000.0,30394285000.0,1.567632994983496,73.80999755859375,0.054,0.2,0.117,0.236,0.0108,0.254,0.0029159999999999998,0.04000000000000001,0.006318000000000001,0.171,0.371,0.00011664000000000001
68,1467373,ACN,Accenture plc,2014-08-31,634216250.0,2941498000.0,31874678000.0,1.5774485165249432,79.27999877929688,0.035,0.073,0.147,0.275,0.002555,0.108,0.0012250000000000002,0.0053289999999999995,0.005145,0.182,0.255,6.528025e-06
69,1467373,ACN,Accenture plc,2015-08-31,626799586.0,3053581000.0,32914424000.0,1.9635557254481533,103.11000061035156,0.041,-0.036,0.182,0.26,-0.0014759999999999999,0.0050000000000000044,0.0016810000000000002,-0.0012959999999999998,0.007462,0.223,0.187,-2.178576e-06
70,1467373,ACN,Accenture plc,2016-08-31,624797820.0,4111892000.0,34797661000.0,2.0255223633799613,112.80999755859376,0.045,0.182,0.193,0.307,0.00819,0.22699999999999998,0.002025,0.033124,0.008685,0.238,0.42,6.70761e-05
71,1467373,ACN,Accenture plc,2017-08-31,620104250.0,3445149000.0,36176841000.0,2.2080931286062038,128.82000732421875,0.048,0.062,0.118,0.321,0.002976,0.11,0.002304,0.0038439999999999998,0.005664,0.16599999999999998,0.22799999999999998,8.856576e-06
72,1467373,ACN,Accenture plc,2018-08-31,628451742.0,4059907000.0,40992534000.0,2.507979091322361,163.58999633789062,0.086,-0.006,0.204,0.393,-0.000516,0.07999999999999999,0.007395999999999999,-3.6e-05,0.017543999999999997,0.29,0.284,-2.6625599999999995e-07
73,1467373,ACN,Accenture plc,2019-08-31,638098125.0,4779112000.0,43215013000.0,2.8435705452846345,192.5800018310547,0.093,0.177,0.223,0.284,0.016461,0.27,0.008649,0.031328999999999996,0.020739,0.316,0.493,0.000270964521
74,2098,ACU,ACME UNITED CORP,2016-12-31,3327867.0,5850998.0,124574000.0,0.5871732073837509,21.979999542236328,0.078,0.106,0.105,0.005,0.008268,0.184,0.006084,0.011236,0.00819,0.183,0.289,6.8359824e-05
75,2098,ACU,ACME UNITED CORP,2017-12-31,3356383.0,4052479.0,130550349.0,0.5815487040696361,22.6200008392334,0.09,-0.08,0.149,0.21,-0.0072,0.009999999999999995,0.0081,-0.0064,0.013409999999999998,0.239,0.15899999999999997,-5.184e-05
76,2098,ACU,ACME UNITED CORP,2018-12-31,3370744.0,4598350.0,137321395.0,0.3927421797601167,16.0,0.05,-0.113,-0.147,0.479,-0.0056500000000000005,-0.063,0.0025000000000000005,-0.012769,-0.00735,-0.09699999999999999,-0.21,-3.192250000000001e-05
77,2098,ACU,ACME UNITED CORP,2019-12-31,3351731.0,5513608.0,142457342.0,0.5220855003739819,22.190000534057617,0.044,0.167,-0.01,0.256,0.007348,0.21100000000000002,0.0019359999999999998,0.027889000000000004,-0.00043999999999999996,0.033999999999999996,0.201,5.3993104e-05
78,796343,ADBE,ADOBE INC.,2011-12-02,497469000.0,832847000.0,4216258000.0,3.470035091327963,29.40999984741211,0.197,0.468,-0.085,0.534,0.09219600000000001,0.665,0.038809,0.21902400000000002,-0.016745000000000003,0.112,0.5800000000000001,0.008500102416000003
79,796343,ADBE,ADOBE INC.,2013-11-29,501372000.0,289985000.0,4055240000.0,6.421632503001137,51.93999862670898,-0.019,-0.41,0.329,0.439,0.007789999999999999,-0.429,-0.000361,-0.16809999999999997,0.0062510000000000005,0.31,-0.09999999999999998,-6.068409999999999e-05
80,796343,ADBE,ADOBE INC.,2014-11-28,497867000.0,268395000.0,4147065000.0,8.306457445324732,69.19000244140625,-0.029,-0.432,0.46,0.469,0.012528000000000001,-0.461,-0.0008410000000000001,-0.18662399999999998,0.013340000000000001,0.431,-0.0010000000000000009,-0.000156950784
81,796343,ADBE,ADOBE INC.,2015-11-27,498764000.0,629551000.0,4795511000.0,8.551409159283082,82.22000122070312,0.087,0.474,0.258,0.813,0.041238,0.5609999999999999,0.007568999999999999,0.224676,0.022446,0.345,0.819,0.0017005726439999998
82,796343,ADBE,ADOBE INC.,2016-12-02,498345000.0,1168782000.0,5854430000.0,9.15154370529322,107.51000213623048,0.188,1.087,0.247,0.603,0.20435599999999998,1.275,0.035344,1.1815689999999999,0.046436,0.435,1.522,0.041761374735999994
83,796343,ADBE,ADOBE INC.,2017-12-01,493632000.0,1693954000.0,7301505000.0,10.085594428070822,149.17999267578125,0.234,0.64,0.347,0.813,0.14976,0.874,0.054756000000000006,0.4096,0.08119799999999999,0.581,1.221,0.022428057600000002
84,796343,ADBE,ADOBE INC.,2018-11-30,490600000.0,2591000000.0,9030000000.0,14.666387152687657,269.95001220703125,0.242,0.489,0.585,0.552,0.118338,0.731,0.058564,0.239121,0.14156999999999997,0.827,1.3159999999999998,0.014003882244
85,796343,ADBE,ADOBE INC.,2019-11-29,486300000.0,2951000000.0,11171000000.0,12.02581460925611,276.25,0.237,0.32,0.361,0.534,0.07584,0.5569999999999999,0.056169,0.1024,0.085557,0.598,0.9179999999999999,0.0057517055999999995
86,917251,ADC,AGREE REALTY CORPORATION,2019-12-31,40577346.0,80081000.0,187478000.0,16.185226449754676,74.77999877929688,0.297,0.174,0.23,-0.05,0.051677999999999995,0.471,0.088209,0.030275999999999997,0.06831,0.527,0.7010000000000001,0.0026706156839999998
87,6281,ADI,"Analog Devices, Inc.",2018-11-03,370430000.0,1506980000.0,6200942000.0,5.523347494761475,92.45999908447266,0.346,0.323,0.215,0.346,0.111758,0.669,0.11971599999999999,0.104329,0.07439,0.5609999999999999,0.8839999999999999,0.012489850564
88,6281,ADI,"Analog Devices, Inc.",2019-11-02,369133000.0,1363011000.0,5991065000.0,6.884123495431108,111.7300033569336,0.083,0.301,0.155,0.225,0.024983,0.384,0.006889000000000001,0.09060099999999999,0.012865000000000001,0.238,0.5389999999999999,0.000624150289
89,7084,ADM,ARCHER-DANIELS-MIDLAND CO,2011-06-30,642000000.0,2036000000.0,80676000000.0,0.2579109016564849,32.40999984741211,0.08,0.1,0.101,0.275,0.008,0.18,0.0064,0.010000000000000002,0.00808,0.181,0.281,6.400000000000001e-05
90,7084,ADM,ARCHER-DANIELS-MIDLAND CO,2012-12-31,660000000.0,1375000000.0,90559000000.0,0.1945913769315036,26.700000762939453,0.212,-0.156,0.028,0.169,-0.033072,0.055999999999999994,0.044944,-0.024336,0.005936,0.24,0.08399999999999999,-0.001093757184
91,7084,ADM,ARCHER-DANIELS-MIDLAND CO,2013-12-31,661000000.0,1342000000.0,89804000000.0,0.2962590753195849,40.25,0.055,-0.188,0.114,0.037,-0.01034,-0.133,0.003025,-0.035344,0.00627,0.169,-0.01899999999999999,-0.0001069156
92,7084,ADM,ARCHER-DANIELS-MIDLAND CO,2014-12-31,653000000.0,2248000000.0,81201000000.0,0.4236405980133223,52.68000030517578,-0.053,0.279,0.405,-0.129,-0.014787000000000002,0.22600000000000003,-0.002809,0.07784100000000002,0.021465,0.35200000000000004,0.631,0.00021865536900000004
93,7084,ADM,ARCHER-DANIELS-MIDLAND CO,2015-12-31,618000000.0,1849000000.0,67702000000.0,0.3330894366088517,36.4900016784668,-0.132,0.174,-0.048,0.123,-0.022968,0.04199999999999998,-0.017424000000000002,0.030275999999999997,-0.0063360000000000005,-0.18,-0.006000000000000005,0.000527529024
94,7084,ADM,ARCHER-DANIELS-MIDLAND CO,2016-12-31,588000000.0,1279000000.0,62346000000.0,0.4077124391434087,43.22999954223633,-0.124,-0.245,-0.094,-0.003,0.03038,-0.369,-0.015375999999999999,-0.060024999999999995,-0.011656,-0.218,-0.46299999999999997,-0.0009229443999999999
95,7084,ADM,ARCHER-DANIELS-MIDLAND CO,2017-12-31,569000000.0,1595000000.0,60828000000.0,0.3730472908489111,39.880001068115234,-0.052,-0.071,0.046,0.117,0.0036919999999999995,-0.123,-0.002704,-0.0050409999999999995,0.002392,-0.005999999999999998,-0.07699999999999999,-1.3630863999999998e-05
96,7084,ADM,ARCHER-DANIELS-MIDLAND CO,2018-12-31,564000000.0,1810000000.0,64341000000.0,0.4034018784006887,46.02000045776367,0.016,0.19,0.032,0.163,0.00304,0.20600000000000002,0.000256,0.0361,0.000512,0.048,0.238,9.2416e-06
97,7084,ADM,ARCHER-DANIELS-MIDLAND CO,2019-12-31,563000000.0,1379000000.0,64656000000.0,0.3738182097843041,42.93000030517578,0.031,-0.07,0.038,0.204,-0.00217,-0.03900000000000001,0.0009609999999999999,-0.004900000000000001,0.001178,0.069,-0.0010000000000000009,-4.708900000000001e-06
